Num Docs,Altura,Total Nos,Profundidade Media,Profundidade Minima,Max Desbalanceamento,Tempo Total (ms),Comparacoes Medias,Tipo Arvore
1,7,129,5.28682,5,1,0.002,0,AVL
2,8,205,5.89756,5,1,0.002,1,AVL
3,10,574,7.43554,6,1,0,2,AVL
4,10,604,7.51656,6,1,0,2,AVL
5,11,704,7.73722,6,1,0,3,AVL
6,11,806,7.9268,6,1,0,3,AVL
7,11,883,8.06342,6,1,0,1,AVL
8,11,1113,8.36837,7,1,0,3,AVL
9,11,1160,8.43017,7,1,0,3,AVL
10,11,1279,8.57936,7,1,0,4,AVL
11,12,1407,8.72139,8,1,0.001,4,AVL
12,12,1463,8.77649,8,1,0,4,AVL
13,12,1526,8.82962,8,1,0,3,AVL
14,12,1671,8.96589,8,1,0,4,AVL
15,12,1824,9.08333,8,1,0,2,AVL
16,12,1924,9.1762,8,1,0,4,AVL
17,12,1994,9.2332,8,1,0,5,AVL
18,12,2057,9.28439,8,1,0,5,AVL
19,12,2119,9.33082,8,1,0,3,AVL
20,13,2314,9.45376,8,1,0,4,AVL
21,13,2435,9.53265,8,1,0,5,AVL
22,13,2470,9.55304,8,1,0,4,AVL
23,13,2591,9.61173,8,1,0,5,AVL
24,13,2632,9.62994,8,1,0,5,AVL
25,13,2682,9.66145,8,1,0,5,AVL
26,13,2771,9.70805,8,1,0,5,AVL
27,13,2828,9.73444,8,1,0,5,AVL
28,13,3002,9.81779,8,1,0,5,AVL
29,13,3055,9.84124,8,1,0,5,AVL
30,13,3160,9.88449,8,1,0,4,AVL
31,13,3191,9.89784,8,1,0,4,AVL
32,13,3249,9.92305,8,1,0.004,5,AVL
33,13,3340,9.96138,9,1,0,5,AVL
34,13,3388,9.97668,9,1,0,5,AVL
35,13,3448,10.0015,9,1,0,6,AVL
36,13,3526,10.0357,9,1,0,6,AVL
37,13,3545,10.0463,9,1,0,6,AVL
38,13,3566,10.0558,9,1,0,6,AVL
39,13,3581,10.062,9,1,0,3,AVL
40,13,3626,10.0822,9,1,0,4,AVL
41,13,3793,10.1526,9,1,0,6,AVL
42,13,3861,10.1782,9,1,0,6,AVL
43,14,3952,10.2123,9,1,0,6,AVL
44,14,3975,10.2209,9,1,0,5,AVL
45,14,4047,10.2473,9,1,0,6,AVL
46,14,4079,10.2594,9,1,0,5,AVL
47,14,4123,10.2765,9,1,0,5,AVL
48,14,4137,10.2816,9,1,0,5,AVL
49,14,4317,10.3407,9,1,0,6,AVL
50,14,4378,10.3627,9,1,0,5,AVL
51,14,4451,10.3853,9,1,0,6,AVL
52,14,4543,10.414,9,1,0,6,AVL
53,14,4614,10.4382,9,1,0,5,AVL
54,14,4653,10.4496,9,1,0,1,AVL
55,14,4664,10.4526,9,1,0,6,AVL
56,14,4673,10.4545,9,1,0,6,AVL
57,14,4734,10.4753,9,1,0,6,AVL
58,14,4770,10.4857,9,1,0,6,AVL
59,14,4802,10.4979,9,1,0,6,AVL
60,14,4831,10.5076,9,1,0,5,AVL
61,14,4858,10.5161,9,1,0,5,AVL
62,14,4886,10.5239,9,1,0,7,AVL
63,14,4926,10.5355,9,1,0,6,AVL
64,14,4971,10.549,9,1,0,7,AVL
65,14,5032,10.5662,9,1,0,5,AVL
66,14,5056,10.5716,9,1,0,5,AVL
67,14,5107,10.5841,9,1,0.001,5,AVL
68,14,5136,10.5929,9,1,0,5,AVL
69,14,5158,10.6002,9,1,0,4,AVL
70,14,5197,10.6113,9,1,0,6,AVL
71,14,5246,10.6247,9,1,0,6,AVL
72,14,5272,10.6328,9,1,0,6,AVL
73,14,5317,10.6415,9,1,0,6,AVL
74,14,5393,10.6614,9,1,0,6,AVL
75,14,5411,10.6673,9,1,0,5,AVL
76,14,5483,10.6858,9,1,0,7,AVL
77,14,5544,10.7022,9,1,0,5,AVL
78,14,5580,10.7145,9,1,0,7,AVL
79,14,5638,10.7292,9,1,0,7,AVL
80,14,5715,10.7508,9,1,0,5,AVL
81,14,5765,10.7636,9,1,0,6,AVL
82,14,5834,10.7818,9,1,0,7,AVL
83,14,5919,10.8037,9,1,0,7,AVL
84,14,5975,10.8161,9,1,0,6,AVL
85,14,5988,10.8193,9,1,0,6,AVL
86,14,6006,10.8235,9,1,0,3,AVL
87,14,6020,10.8276,9,1,0,4,AVL
88,14,6036,10.8322,9,1,0,6,AVL
89,14,6095,10.8484,9,1,0,4,AVL
90,14,6117,10.8537,9,1,0,6,AVL
91,14,6185,10.8686,9,1,0,6,AVL
92,14,6243,10.8816,9,1,0,7,AVL
93,14,6312,10.8983,9,1,0,7,AVL
94,14,6374,10.9128,9,1,0,7,AVL
95,14,6435,10.927,9,1,0,7,AVL
96,14,6491,10.9404,9,1,0,7,AVL
97,14,6516,10.9458,9,1,0,6,AVL
98,14,6556,10.9555,9,1,0,7,AVL
99,14,6603,10.9653,9,1,0,6,AVL
100,14,6634,10.9717,9,1,0,7,AVL
